rank,name,year,rating,genre,certificate,run_time,tagline,budget,box_office,casts,directors,writers,budget_yield
104,Double Indemnity,1944,8.3,Crime,Passed,107,"IT'S LOVE AND MURDER AT FIRST SIGHT! (print ad - Lubbock Morning Avalanche - Lindsey Theatre - Lubbock, Texas - September 1, 1944 - all caps)",987000,8000000,Fred MacMurray,Billy Wilder,Billy Wilder,8.105369807
221,Before Sunset,2004,8.1,Drama,R,80,What if you had a second chance with the one that got away?,2000000,15900000,Ethan Hawke,Richard Linklater,Richard Linklater,7.95
78,Avengers: Endgame,2019,8.4,Action,PG-13,181,Avenge the fallen.,356000000,2799439100,Robert Downey Jr.,Anthony Russo,Christopher Markus,7.863592978
242,It Happened One Night,1934,8.1,Comedy,Passed,105,Two great lovers of the screen in the grandest of romantic comedies !,325000,2500000,Clark Gable,Frank Capra,Robert Riskin,7.692307692
16,The Matrix,1999,8.7,Action,R,136,Free your mind,63000000,467222728,Keanu Reeves,Lana Wachowski,Lilly Wachowski,7.416233778
44,Grave of the Fireflies,1988,8.5,Animation,Not Rated,89,imationDramaWar,1700000,12500000,Tsutomu Tatsumi,Isao Takahata,Akiyuki Nosaka,7.352941176
174,Million Dollar Baby,2004,8.1,Drama,PG-13,132,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",30000000,216763646,Hilary Swank,Clint Eastwood,Paul Haggis,7.225454867
65,Aliens,1986,8.4,Action,R,137,This time there's more.,18500000,131060248,Sigourney Weaver,James Cameron,James Cameron,7.08433773
185,The Grand Budapest Hotel,2014,8.1,Adventure,R,99,ventureComedyCrime,25000000,173082189,Ralph Fiennes,Wes Anderson,Stefan Zweig,6.92328756
197,Mr. Smith Goes to Washington,1939,8.1,Comedy,Passed,129,"OUR OPERATOR SAYS..""IT'S GOING TO BE A PLEASURE TO RUN ""MR. SMITH GOES TO WASHINGTON"" 5 DAYS STARTING SUNDAY, NOV.7) (print ad - Lubbock Morning Avalanche - Cactus Theatre - Lubbock Texas - November 2, 1938 - all caps)",1300000,9000000,James Stewart,Frank Capra,Sidney Buchman,6.923076923
24,Saving Private Ryan,1998,8.6,Drama,R,169,"In the Last Great Invasion of the Last Great War, The Greatest Danger for Eight Men was Saving... One.",70000000,482349603,Tom Hanks,Steven Spielberg,Robert Rodat,6.890708614
227,The Incredibles,2004,8,Animation,PG,115,Save The Day,92000000,631607053,Craig T. Nelson,Brad Bird,Brad Bird,6.865294054
149,No Country for Old Men,2007,8.2,Crime,R,122,There Are No Clean Getaways,25000000,171627434,Tommy Lee Jones,Ethan Coen,Joel Coen,6.86509736
124,Downfall,2004,8.2,Biography,R,156,"April 1945, a nation awaits its...",13500000,92181574,Bruno Ganz,Oliver Hirschbiegel,Bernd Eichinger,6.828264741
173,Catch Me If You Can,2002,8.1,Biography,PG-13,141,The true story of a real fake.,52000000,352000000,Leonardo DiCaprio,Steven Spielberg,Jeff Nathanson,6.769230769
217,Stand by Me,1986,8.1,Adventure,13+,89,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",8000000,52287414,Wil Wheaton,Rob Reiner,Stephen King,6.53592675
63,Avengers: Infinity War,2018,8.4,Action,PG-13,149,An entire universe. Once and for all.,321000000,2052415039,Robert Downey Jr.,Anthony Russo,Christopher Markus,6.393816321
216,Logan,2017,8.1,Action,R,137,His time has come,97000000,619179950,Hugh Jackman,James Mangold,James Mangold,6.383298454
102,The Apartment,1960,8.3,Comedy,Approved,125,"Movie-wise, there has never been anything like ""THE APARTMENT"" love-wise, laugh-wise or otherwise-wise!",3000000,18778738,Jack Lemmon,Billy Wilder,Billy Wilder,6.259579333
219,Network,1976,8.1,Drama,R,121,"""NETWORK""... the humanoids, the love story, the trials and tribulations, the savior of television, the attempted suicides, the assassination -- it's ALL coming along with a galaxy of stars you know and love!",3800000,23690757,Faye Dunaway,Sidney Lumet,Paddy Chayefsky,6.234409737
235,My Father and My Son,2005,8.2,Drama,Not Rated,112,"Give him a room dad, he has no place to go...",2500000,15500000,Çetin Tekindor,Çagan Irmak,Çagan Irmak,6.2
229,La haine,1995,8.1,Crime,Not Rated,98,"So far, so good",2500000,15300000,Vincent Cassel,Mathieu Kassovitz,Mathieu Kassovitz,6.12
184,Gone Girl,2014,8.1,Drama,R,149,You don't know what you've got 'til it's...,61000000,368000000,Ben Affleck,David Fincher,Gillian Flynn,6.032786885
151,Kill Bill: Vol. 1,2003,8.2,Action,R,111,"In the year 2003, Uma Thurman will kill Bill",30000000,180906076,Uma Thurman,Quentin Tarantino,Quentin Tarantino,6.030202533
108,Hamilton,2020,8.4,Biography,PG-13,160,An American Musical,12500000,75000000,Lin-Manuel Miranda,Thomas Kail,Lin-Manuel Miranda,6
243,Persona,1966,8.1,Drama,Not Rated,83,A new film by Ingmar Bergman,250000,1500000,Bibi Andersson,Ingmar Bergman,Ingmar Bergman,6
5,12 Angry Men,1957,9,Crime,Approved,96,Life Is In Their Hands -- Death Is On Their Minds!,337000,2000000,Henry Fonda,Sidney Lumet,Reginald Rose,5.934718101
232,Hachi: A Dog's Tale,2009,8.1,Biography,G,93,"A true story of faith, devotion and undying love.",16000000,93000600,Richard Gere,Lasse Hallström,Stephen P. Lindsey,5.8125375
96,M,1931,8.3,Crime,Passed,99,IT STAGGERS THE SENSES!...SHOCKS the Imagination - It will leave you Gasping - It is the Sensation of 3 Continents!,6123,35566,Peter Lorre,Fritz Lang,Thea von Harbou,5.80859056
131,All About Eve,1950,8.2,Drama,Passed,138,It's all about women---and their men!,1400000,8000000,Bette Davis,Joseph L. Mankiewicz,Joseph L. Mankiewicz,5.714285714
91,2001: A Space Odyssey,1968,8.3,Adventure,G,149,Let the Awe and Mystery of a Journey Unlike Any Other Begin,12000000,65889846,Keir Dullea,Stanley Kubrick,Stanley Kubrick,5.4908205
143,A Beautiful Mind,2001,8.2,Biography,PG-13,135,The Only Thing Greater Than the Power of the Mind is the Courage of the Heart,58000000,316791257,Russell Crowe,Ron Howard,Akiva Goldsman,5.461918224
237,Rebecca,1940,8.1,Drama,Approved,130,"THE MIGHTY NOVEL LEAPS TO TURBULENT LIFE ON THE SCREEN! (Print Ad- Syracuse Herald-American, ((Syracuse, NY)) 24 March 1940)",1100000,6000000,Laurence Olivier,Alfred Hitchcock,Daphne Du Maurier,5.454545455
3,The Dark Knight,2008,9,Action,PG-13,152,Why So Serious?,185000000,1006234167,Christian Bale,Christopher Nolan,Jonathan Nolan,5.439103605
20,Seven Samurai,1954,8.6,Action,Not Rated,207,Will Take Its Place With the Seven Greatest Films of All Time!,580000,3133533,Toshirô Mifune,Akira Kurosawa,Akira Kurosawa,5.402643103
86,Toy Story 3,2010,8.3,Animation,G,103,The Breakout Comedy Of The Summer,200000000,1067316101,Tom Hanks,Lee Unkrich,John Lasseter,5.336580505
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Comedy,PG,95,The comedy classic from celebrated director STANLEY KUBRICK,1800000,9523464,Peter Sellers,Stanley Kubrick,Stanley Kubrick,5.290813333
14,Inception,2010,8.8,Action,PG-13,148,Your mind is the scene of the crime,160000000,836848102,Leonardo DiCaprio,Christopher Nolan,Christopher Nolan,5.230300638
155,The Elephant Man,1980,8.2,Biography,PG,124,An incredible but true story... probably this year's best film.,5000000,26023860,Anthony Hopkins,David Lynch,Christopher De Vore,5.204772
244,Life of Brian,1979,8,Comedy,R,94,A motion picture destined to offend nearly two thirds of the civilized world. And severely annoy the other third.,4000000,20745728,Graham Chapman,Terry Jones,Graham Chapman,5.186432
70,Oldboy,2003,8.4,Action,R,120,"15 years of imprisonment, five days of vengeance",3000000,15421226,Choi Min-sik,Park Chan-wook,Garon Tsuchiya,5.140408667
29,Terminator 2: Judgment Day,1991,8.6,Action,R,137,It's nothing personal.,102000000,520881154,Arnold Schwarzenegger,James Cameron,James Cameron,5.10667798
238,Cool Hand Luke,1967,8.1,Crime,GP,127,"""What we've got here is failure to communicate.""",3200000,16200000,Paul Newman,Stuart Rosenberg,Donn Pearce,5.0625
118,Die Hard,1988,8.2,Action,R,132,It will blow you through the back wall of the theater!,28000000,141603197,Bruce Willis,John McTiernan,Roderick Thorp,5.057257036
203,"Monsters, Inc.",2001,8.1,Animation,G,92,"Monsters, Inc. : We Scare Because We Care",115000000,579707738,Billy Crystal,Pete Docter,Pete Docter,5.040936852
188,The Third Man,1949,8.1,Film-Noir,Approved,93,Carol Reed's Classic Thriller,1500000,7500000,Orson Welles,Carol Reed,Graham Greene,5
189,In the Name of the Father,1993,8.1,Biography,R,133,Falsely accused.  Wrongly imprisoned.  He fought for justice to clear his father's name.,13000000,65000000,Daniel Day-Lewis,Jim Sheridan,Gerry Conlon,5
208,The Passion of Joan of Arc,1928,8.2,Biography,Passed,114,JOAN of ARC PICTURES Inc. presents,300000,1500000,Maria Falconetti,Carl Theodor Dreyer,Joseph Delteil,5
234,Jai Bhim,2021,8.8,Crime,TV-MA,164,imeDramaMystery,1300000,6500000,Suriya,T.J. Gnanavel,T.J. Gnanavel,5
136,Ran,1985,8.2,Action,R,162,tionDramaWar,20000000,100000000,Tatsuya Nakadai,Akira Kurosawa,Akira Kurosawa,5
183,Ben-Hur,1959,8.1,Adventure,G,212,A Tale of the Christ,15000000,74437720,Charlton Heston,William Wyler,Lew Wallace,4.962514667
214,Spotlight,2015,8.1,Biography,R,129,Break the story. Break the silence.,20000000,98690254,Mark Ruffalo,Tom McCarthy,Josh Singer,4.9345127
161,Inside Out,2015,8.2,Animation,PG,95,Meet the little voices inside your head.,175000000,858848019,Amy Poehler,Pete Docter,Pete Docter,4.907702966
37,Gladiator,2000,8.5,Action,R,155,"Father of a murdered son, husband to a murdered wife and I shall have my vengeance in this life or the next",103000000,503162313,Russell Crowe,Ridley Scott,David Franzoni,4.885071
156,Chinatown,1974,8.2,Drama,R,130,You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.,6000000,29225935,Jack Nicholson,Roman Polanski,Robert Towne,4.870989167
224,Groundhog Day,1993,8.1,Comedy,PG,101,What would you do if you were stuck in the same day... over and over? Anything you want and everything your heart desires.,14600000,71108591,Bill Murray,Harold Ramis,Danny Rubin,4.870451438
43,Casablanca,1942,8.5,Drama,PG,102,Where Love Cuts as Deep as a Dagger!,950000,4626532,Humphrey Bogart,Michael Curtiz,Julius J. Epstein,4.870033684
27,The Green Mile,1999,8.6,Crime,R,189,Miracles do happen.,60000000,286801374,Tom Hanks,Frank Darabont,Stephen King,4.7800229
25,Interstellar,2014,8.6,Adventure,PG-13,169,Mankind was born on Earth. It was never meant to die here.,165000000,773867216,Matthew McConaughey,Christopher Nolan,Jonathan Nolan,4.690104339
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,Action,PG-13,143,Prepare to be blown out of the water.,140000000,654264015,Johnny Depp,Gore Verbinski,Ted Elliott,4.673314393
73,Coco,2017,8.4,Animation,PG,105,The celebration of a lifetime,175000000,814337054,Anthony Gonzalez,Lee Unkrich,Lee Unkrich,4.653354594
71,Inglourious Basterds,2009,8.3,Adventure,R,153,Once upon a time in Nazi occupied France...,70000000,321457747,Brad Pitt,Quentin Tarantino,Quentin Tarantino,4.592253529
192,Hacksaw Ridge,2016,8.1,Biography,R,139,Based on the incredible true story.,40000000,180563636,Andrew Garfield,Mel Gibson,Robert Schenkkan,4.5140909
64,Witness for the Prosecution,1957,8.4,Crime,Approved,116,The most electrifying entertainment of our time!,2000000,9000000,Tyrone Power,Billy Wilder,Agatha Christie,4.5
54,Memento,2000,8.4,Mystery,R,113,Some memories are best forgotten,9000000,40047078,Guy Pearce,Christopher Nolan,Christopher Nolan,4.449675333
137,Pan's Labyrinth,2006,8.2,Drama,R,118,What happens when make-believe believes it's real?,19000000,83862032,Ivana Baquero,Guillermo del Toro,Guillermo del Toro,4.413791158
84,Singin' in the Rain,1952,8.3,Comedy,G,103,Singin' Swingin' Glorious Feelin' Technicolor Musical,1700000,7500000,Gene Kelly,Stanley Donen,Betty Comden,4.411764706
138,The Truman Show,1998,8.2,Comedy,PG,103,All the world's a stage...,60000000,264118201,Jim Carrey,Peter Weir,Andrew Niccol,4.401970017
69,The Dark Knight Rises,2012,8.4,Action,PG-13,164,The Legend Ends,250000000,1081169825,Christian Bale,Christopher Nolan,Jonathan Nolan,4.3246793
66,Spider-Man: Into the Spider-Verse,2018,8.4,Animation,PG,117,Enter a universe where more than one wears the mask.,90000000,384000000,Shameik Moore,Bob Persichetti,Phil Lord,4.266666667
55,Django Unchained,2012,8.4,Drama,R,165,"Life, liberty and the pursuit of vengeance.",100000000,426074373,Jamie Foxx,Quentin Tarantino,Quentin Tarantino,4.26074373
113,Up,2009,8.3,Animation,PG,96,Fly Up to Venezuela,175000000,735099102,Edward Asner,Pete Docter,Pete Docter,4.200566297
93,Come and See,1985,8.4,Drama,Not Rated,142,The cruelest side of war.,5000000,21000000,Aleksey Kravchenko,Elem Klimov,Ales Adamovich,4.2
213,Ratatouille,2007,8.1,Animation,G,111,Dinner is served... Summer 2007,150000000,623726085,Brad Garrett,Brad Bird,Brad Bird,4.1581739
130,The Father,2020,8.2,Drama,PG-13,97,Nothing is as it seems,6000000,24427162,Anthony Hopkins,Florian Zeller,Christopher Hampton,4.071193667
132,The Wolf of Wall Street,2013,8.2,Biography,R,180,Earn. Spend. Party.,100000000,406878233,Leonardo DiCaprio,Martin Scorsese,Terence Winter,4.06878233
123,1917,2019,8.2,Action,R,119,Time is the enemy.,95000000,384479940,Dean-Charles Chapman,Sam Mendes,Sam Mendes,4.047157263
48,Once Upon a Time in the West,1968,8.5,Western,PG-13,165,There were three men in her life. One knew her past. One wanted her land. One wanted revenge.,5000000,20000000,Henry Fonda,Sergio Leone,Sergio Donati,4
160,"Lock, Stock and Two Smoking Barrels",1998,8.2,Action,R,107,A Disgrace to Criminals Everywhere.,960000,3753929,Jason Flemyng,Guy Ritchie,Guy Ritchie,3.910342708
40,The Usual Suspects,1995,8.5,Crime,R,106,The greatest trick the devil ever pulled was to convince the world he didn't exist,6000000,23341568,Kevin Spacey,Bryan Singer,Christopher McQuarrie,3.890261333
220,Into the Wild,2007,8.1,Adventure,R,148,Into the heart Into the soul,15000000,56675895,Emile Hirsch,Sean Penn,Sean Penn,3.778393
90,Eternal Sunshine of the Spotless Mind,2004,8.3,Drama,R,108,I already forget how I used to feel about you.,20000000,74036715,Jim Carrey,Michel Gondry,Charlie Kaufman,3.70183575
4,The Godfather Part II,1974,9,Crime,R,202,All the power on earth can't change destiny.,13000000,47961919,Al Pacino,Francis Ford Coppola,Francis Ford Coppola,3.689378385
142,Shutter Island,2010,8.2,Mystery,R,138,Someone is missing.,80000000,294805697,Leonardo DiCaprio,Martin Scorsese,Laeta Kalogridis,3.685071213
117,L.A. Confidential,1997,8.2,Crime,R,138,"Off the record, on the QT, and very hush-hush...",35000000,126216940,Kevin Spacey,Curtis Hanson,James Ellroy,3.606198286
32,The Pianist,2002,8.5,Biography,R,150,Music was his passion. Survival was his masterpiece.,35000000,120072577,Adrien Brody,Roman Polanski,Ronald Harwood,3.430645057
98,North by Northwest,1959,8.3,Action,Approved,136,Alfred Hitchcock takes you.... North by Northwest!,4000000,13700000,Cary Grant,Alfred Hitchcock,Ernest Lehman,3.425
52,City Lights,1931,8.5,Comedy,G,87,"HE RETURNS -And the world rocks again with laughter. (Print Ad-Daily Examiner, ((Grafton, NSW)) 6 July 1931)",1500000,5000000,Charles Chaplin,Charles Chaplin,Charles Chaplin,3.333333333
134,Judgment at Nuremberg,1961,8.3,Drama,Approved,179,More than a motion picture...It is an overwhelming experience in human emotion you will never forget!,3000000,10000000,Spencer Tracy,Stanley Kramer,Abby Mann,3.333333333
53,Apocalypse Now,1979,8.5,Drama,R,147,The Horror. . . The Horror. . .,31500000,104880868,Martin Sheen,Francis Ford Coppola,John Milius,3.329551365
121,Bicycle Thieves,1948,8.3,Drama,Not Rated,89,The Prize Picture They Want to Censor!,133000,436655,Lamberto Maggiorani,Vittorio De Sica,Cesare Zavattini,3.283120301
190,The Deer Hunter,1978,8.1,Drama,R,183,One of the most important and powerful films of all time!,15000000,49074379,Robert De Niro,Michael Cimino,Michael Cimino,3.271625267
39,The Departed,2006,8.5,Crime,R,151,Lies. Betrayal. Sacrifice. How far will you take it?,90000000,291480452,Leonardo DiCaprio,Martin Scorsese,William Monahan,3.238671689
99,Vertigo,1958,8.3,Mystery,PG,128,A Hitchcock thriller. You should see it from the beginning!,2479000,7798146,James Stewart,Alfred Hitchcock,Alec Coppel,3.14568213
206,The Big Lebowski,1998,8.1,Comedy,R,117,Hay quienes tratan de ganarse la vida sin mover un dedo... otros tienen que cortarlos. (Mexico),15000000,46969409,Jeff Bridges,Joel Coen,Ethan Coen,3.131293933
233,The Grapes of Wrath,1940,8.1,Drama,Passed,129,The thousands who have read the book will know why WE WILL NOT SELL ANY CHILDREN TICKETS to see this picture!,800000,2500000,Henry Fonda,John Ford,Nunnally Johnson,3.125
111,Heat,1995,8.3,Action,R,170,An L.A. Redemption,60000000,187436818,Al Pacino,Michael Mann,Michael Mann,3.123946967
97,Lawrence of Arabia,1962,8.3,Adventure,Approved,218,A Mighty Motion Picture Of Action And Adventure!,15000000,45720631,Peter O'Toole,David Lean,Robert Bolt,3.048042067
139,There Will Be Blood,2007,8.2,Drama,R,158,There Will Be Greed. There Will Be Vengeance.,25000000,76182388,Daniel Day-Lewis,Paul Thomas Anderson,Paul Thomas Anderson,3.04729552
45,Harakiri,1962,8.6,Action,Not Rated,133,The World Has Never Understood Why the Japanese Prefer Death to Dishonor! This Samurai Picture Provides The Answer!!,5000,15222,Tatsuya Nakadai,Masaki Kobayashi,Yasuhiko Takiguchi,3.0444
207,Tokyo Story,1953,8.2,Drama,Not Rated,136,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",140000,420000,Chishû Ryû,Yasujirô Ozu,Kôgo Noda,3
247,Dersu Uzala,1975,8.2,Adventure,G,142,There is man and beast at nature's mercy. There is awe and love and reverence. And there is the man called...,1700000,5100000,Maksim Munzuk,Akira Kurosawa,Akira Kurosawa,3
